customerid,invoicedate,invoicenumber,productid,quantity,price,total,orderstatus,sessionduration,deliveryrating,productrating,sales,payment_method,avg_price_per_product,customer_satisfaction_index
9691,1/1/2019,26088332,32,3,91.37,274.11,Completed,6.54,2,5,274.11,PayPal,91.37,959.385
8327,1/1/2019,95183269,34,1,48.24,48.24,In Process,5.01,0,0,0,Credit Card,48.24,0
6801,1/1/2019,44769684,64,2,35.23,70.46,Completed,0.1,1,2,70.46,PayPal,35.23,105.69
4406,1/2/2019,12422351,41,2,32.33,64.66,Completed,1.95,4,4,64.66,Credit Card,32.33,258.64
1966,1/3/2019,84352310,20,1,81.89,81.89,Completed,9.15,5,3,81.89,Bank Transfer,81.89,327.56
6148,1/3/2019,53293645,10,3,19.34,58.02,Completed,7.89,4,5,58.02,Bank Transfer,19.34,261.09
4183,1/4/2019,22473410,46,2,9.88,19.76,Completed,1.6,4,5,19.76,Crypto,9.88,88.92
5979,1/5/2019,45762453,79,2,33.28,66.56,In Process,0.11,0,0,0,Credit Card,33.28,0
7656,1/5/2019,72918460,91,3,67.48,202.44,Completed,8.28,5,4,202.44,Crypto,67.48,910.98
9953,1/6/2019,84161141,61,2,70.34,140.68,In Process,1.61,0,0,0,Bank Transfer,70.34,0
1817,1/7/2019,81218452,31,3,43.5,130.5,Completed,3.53,3,5,130.5,Bank Transfer,43.5,522
6653,1/7/2019,85161028,33,2,28.56,57.12,Returned,4.19,0,0,0,Crypto,28.56,0
6653,1/7/2019,85161028,33,2,28.56,57.12,Returned,4.19,0,0,0,Crypto,28.56,0
6653,4/21/2020,16433171,47,1,64.64,64.64,Completed,0.41,5,2,64.64,PayPal,64.64,226.24
6653,4/21/2020,16433171,47,1,64.64,64.64,Completed,0.41,5,2,64.64,PayPal,64.64,226.24
5162,1/8/2019,32023373,57,1,13.08,13.08,Completed,6.6,5,5,13.08,Crypto,13.08,65.4
5162,1/8/2019,32023373,57,1,13.08,13.08,Completed,6.6,5,5,13.08,Crypto,13.08,65.4
5162,12/13/2021,58745182,3,2,97.19,194.38,Completed,4.81,4,5,194.38,PayPal,97.19,874.71
5162,12/13/2021,58745182,3,2,97.19,194.38,Completed,4.81,4,5,194.38,PayPal,97.19,874.71
4825,1/9/2019,75330542,97,1,56.74,56.74,Completed,4.92,5,5,56.74,Crypto,56.74,283.7
1166,1/9/2019,29669465,22,2,41.48,82.96,Completed,8.14,4,5,82.96,Credit Card,41.48,373.32
1166,1/9/2019,29669465,22,2,41.48,82.96,Completed,8.14,4,5,82.96,Credit Card,41.48,373.32
1166,1/9/2019,29669465,22,2,41.48,82.96,Completed,8.14,4,5,82.96,Credit Card,41.48,373.32
1166,3/19/2019,50914803,13,1,41.29,41.29,Completed,7.14,5,3,41.29,Bank Transfer,41.29,165.16
1166,3/19/2019,50914803,13,1,41.29,41.29,Completed,7.14,5,3,41.29,Bank Transfer,41.29,165.16
1166,3/19/2019,50914803,13,1,41.29,41.29,Completed,7.14,5,3,41.29,Bank Transfer,41.29,165.16
1166,9/9/2023,77412212,71,1,57.53,57.53,Completed,9.9,5,4,57.53,Bank Transfer,57.53,258.885
1166,9/9/2023,77412212,71,1,57.53,57.53,Completed,9.9,5,4,57.53,Bank Transfer,57.53,258.885
1166,9/9/2023,77412212,71,1,57.53,57.53,Completed,9.9,5,4,57.53,Bank Transfer,57.53,258.885
8000,1/10/2019,68975681,84,3,32.88,98.64,In Process,5.78,0,0,0,Credit Card,32.88,0
8000,1/10/2019,68975681,84,3,32.88,98.64,In Process,5.78,0,0,0,Credit Card,32.88,0
8000,1/10/2019,68975681,84,3,32.88,98.64,In Process,5.78,0,0,0,Credit Card,32.88,0
8000,10/6/2019,15580094,55,2,73.53,147.06,In Process,3.98,0,0,0,Crypto,73.53,0
8000,10/6/2019,15580094,55,2,73.53,147.06,In Process,3.98,0,0,0,Crypto,73.53,0
8000,10/6/2019,15580094,55,2,73.53,147.06,In Process,3.98,0,0,0,Crypto,73.53,0
8000,4/13/2022,50675694,85,2,68.31,136.62,Cancelled,4.11,0,0,0,Crypto,68.31,0
8000,4/13/2022,50675694,85,2,68.31,136.62,Cancelled,4.11,0,0,0,Crypto,68.31,0
8000,4/13/2022,50675694,85,2,68.31,136.62,Cancelled,4.11,0,0,0,Crypto,68.31,0
1712,1/10/2019,14535740,9,1,73.83,73.83,Completed,3.47,5,4,73.83,PayPal,73.83,332.235
1712,1/10/2019,14535740,9,1,73.83,73.83,Completed,3.47,5,4,73.83,PayPal,73.83,332.235
1712,1/10/2019,14535740,9,1,73.83,73.83,Completed,3.47,5,4,73.83,PayPal,73.83,332.235
1712,2/6/2020,62842902,18,3,1.97,5.91,Completed,0.09,4,5,5.91,Crypto,1.97,26.595
1712,2/6/2020,62842902,18,3,1.97,5.91,Completed,0.09,4,5,5.91,Crypto,1.97,26.595
1712,2/6/2020,62842902,18,3,1.97,5.91,Completed,0.09,4,5,5.91,Crypto,1.97,26.595
1712,7/14/2021,14348573,5,1,11.97,11.97,Cancelled,2.74,0,0,0,PayPal,11.97,0
1712,7/14/2021,14348573,5,1,11.97,11.97,Cancelled,2.74,0,0,0,PayPal,11.97,0
1712,7/14/2021,14348573,5,1,11.97,11.97,Cancelled,2.74,0,0,0,PayPal,11.97,0
6399,1/11/2019,29415165,39,3,41.61,124.83,Completed,8.45,4,5,124.83,Bank Transfer,41.61,561.735
6379,1/11/2019,97024423,30,2,6.08,12.16,Cancelled,8.25,0,0,0,Crypto,6.08,0
3256,1/11/2019,73294466,43,2,30.66,61.32,Completed,8.17,5,3,61.32,Bank Transfer,30.66,245.28
