customerid,gender,country,trafficsource,devicecategory,device,os,age
9691.0,Female,India,Social Media,Computer,Laptop,Windows,34.0
8327.0,Female,India,Social Media,Computer,Desktop,Windows,28.0
6801.0,Male,United States,Paid Advertisment,Computer,Desktop,Windows,36.0
4406.0,Male,Philippines,Social Media,Mobile,Tablet,Windows,45.0
1966.0,Male,Brazil,,Computer,Laptop,Windows,27.0
6148.0,Male,Egypt,Organic Search,Computer,Desktop,Windows,27.0
4183.0,Male,Turkey,Organic Search,Computer,Laptop,Windows,45.0
5979.0,Male,Japan,Organic Search,Computer,Laptop,Windows,37.0
7656.0,Male,United States,Paid Advertisment,Mobile,Smart Phone,Windows,25.0
9953.0,Male,Japan,Social Media,Computer,Laptop,Windows,35.0
1817.0,Female,China,Social Media,Computer,Laptop,Windows,25.0
6653.0,Male,United Kingdom,Paid Advertisment,Computer,Laptop,Linux,25.0
5162.0,Male,South Korea,Organic Search,Computer,Desktop,Windows,32.0
4825.0,Female,Japan,Organic Search,Computer,Laptop,Windows,18.0
1166.0,Male,Japan,Paid Advertisment,Computer,Desktop,Windows,18.0
8000.0,Female,Brazil,Social Media,Computer,Desktop,Windows,24.0
1712.0,Male,United Kingdom,Paid Advertisment,Computer,Desktop,Windows,19.0
6399.0,Male,Russia,Organic Search,Computer,Laptop,Windows,33.0
6379.0,Male,Turkey,Social Media,Computer,Desktop,Mac,20.0
3256.0,Female,Japan,Social Media,Computer,Desktop,Windows,18.0
7692.0,Male,China,Organic Search,Mobile,Smart Phone,Android,44.0
3440.0,,United Kingdom,Paid Advertisment,Computer,Desktop,Windows,27.0
5330.0,Female,Australia,Paid Advertisment,Mobile,Smart Phone,Windows,30.0
5663.0,Female,Saudi Arabia,Paid Advertisment,Computer,Desktop,Windows,18.0
1385.0,Male,Japan,Paid Advertisment,Mobile,Smart Phone,Android,24.0
9551.0,Male,France,Organic Search,Computer,Laptop,Windows,31.0
8724.0,Female,United States,Social Media,Computer,Laptop,Windows,18.0
5213.0,Female,Taiwan,Social Media,Computer,Laptop,,33.0
3313.0,Male,India,Paid Advertisment,Computer,Desktop,Mac,23.0
4243.0,Female,United States,Paid Advertisment,Computer,Desktop,Windows,27.0
1356.0,Male,Saudi Arabia,Organic Search,Computer,Laptop,Linux,23.0
3543.0,Female,United States,Paid Advertisment,Computer,Laptop,Windows,48.0
5301.0,Female,Saudi Arabia,Paid Advertisment,Computer,Desktop,Windows,29.0
1847.0,Female,Indonesia,Social Media,Computer,Laptop,Windows,19.0
8180.0,Male,South Korea,Organic Search,Computer,Desktop,Windows,38.0
2050.0,Male,South Korea,,Mobile,Tablet,Windows,18.0
6670.0,Male,Argentina,Social Media,Mobile,Smart Phone,Windows,32.0
1919.0,Female,Italy,Social Media,Computer,Desktop,Mac,18.0
1972.0,Male,Russia,Organic Search,Computer,Desktop,Mac,18.0
2396.0,Female,Japan,Organic Search,Computer,Desktop,Mac,31.0
9792.0,Female,China,Organic Search,Computer,Laptop,Windows,37.0
7118.0,Female,Russia,Paid Advertisment,Mobile,Tablet,Windows,31.0
1990.0,Female,China,Organic Search,Computer,Desktop,Windows,28.0
6002.0,Male,Canada,Social Media,Computer,Laptop,Windows,26.0
5822.0,Female,Turkey,Social Media,Computer,Desktop,Windows,18.0
8837.0,Male,United States,Organic Search,Computer,Desktop,,22.0
2437.0,Male,Italy,Organic Search,Mobile,Smart Phone,Android,25.0
1457.0,Female,India,Organic Search,Computer,Desktop,Windows,40.0
3446.0,Female,Germany,Organic Search,Mobile,Tablet,Android,33.0
1784.0,Female,France,Organic Search,Computer,Desktop,Mac,18.0
8735.0,Male,Brazil,Paid Advertisment,Computer,Desktop,Linux,33.0
6952.0,Male,Taiwan,Organic Search,Computer,Desktop,Mac,26.0
9816.0,Female,United States,Organic Search,Computer,Desktop,Windows,23.0
4049.0,Female,Egypt,Organic Search,Computer,Desktop,Windows,36.0
1395.0,Male,United Kingdom,Organic Search,Mobile,Tablet,Windows,40.0
7936.0,Male,France,Social Media,Computer,Laptop,Windows,39.0
2609.0,Female,United States,Social Media,Mobile,Tablet,Windows,21.0
2495.0,Male,China,Organic Search,Mobile,Tablet,Windows,26.0
4592.0,Male,France,Organic Search,Computer,Desktop,Windows,33.0
6440.0,Female,Taiwan,Organic Search,Mobile,Smart Phone,Android,39.0
8919.0,Male,China,Organic Search,Computer,Laptop,Windows,25.0
7211.0,Male,Australia,Social Media,Mobile,Smart Phone,Android,28.0
5189.0,Male,France,Organic Search,Mobile,Tablet,Android,18.0
3360.0,Female,Japan,Paid Advertisment,Computer,Desktop,Windows,18.0
9523.0,Male,United States,Organic Search,Mobile,Smart Phone,Android,38.0
9281.0,Female,Russia,Organic Search,Computer,Laptop,Windows,43.0
2844.0,Female,United Kingdom,Organic Search,Computer,Desktop,Windows,29.0
3761.0,Male,Taiwan,Organic Search,Computer,Laptop,Linux,40.0
3399.0,Male,Switzerland,Social Media,Computer,Laptop,Windows,33.0
2503.0,Male,United States,Organic Search,Computer,Desktop,Windows,23.0
1832.0,Male,United Kingdom,Social Media,Mobile,Smart Phone,Android,33.0
1542.0,Male,United States,Organic Search,Computer,Desktop,Windows,45.0
9899.0,Female,Switzerland,Organic Search,Computer,Laptop,Windows,29.0
6916.0,Male,India,Organic Search,Mobile,Smart Phone,Android,45.0
2948.0,Male,Egypt,Paid Advertisment,Mobile,Tablet,Android,18.0
4190.0,Male,Brazil,Organic Search,Computer,Desktop,Mac,38.0
2144.0,Male,United Kingdom,Organic Search,Computer,Desktop,Windows,30.0
3521.0,Male,Japan,Organic Search,Mobile,Tablet,Windows,27.0
9149.0,Male,Brazil,Organic Search,Computer,Desktop,Linux,30.0
7281.0,Male,Italy,Organic Search,Computer,Desktop,Windows,18.0
1529.0,Male,Japan,Organic Search,Computer,,Windows,27.0
8311.0,Male,,Social Media,Computer,,Windows,33.0
1240.0,Male,South Korea,Organic Search,Mobile,Tablet,Windows,44.0
3613.0,Female,South Korea,Organic Search,Computer,Desktop,Windows,24.0
8579.0,Male,Germany,Organic Search,Mobile,Tablet,Windows,21.0
8528.0,Male,Italy,Paid Advertisment,Computer,Laptop,Windows,24.0
4499.0,Male,Australia,Social Media,Computer,Laptop,Windows,39.0
3811.0,Male,Japan,Social Media,Mobile,Smart Phone,Android,33.0
7695.0,Female,China,Social Media,Computer,Desktop,Windows,
